DATE,N_WELLS,MONTHLY_GAS_PROD
1985-09-01,10298,44513454.25
1985-10-01,10682,49954609.25
1985-11-01,10778,54019822.25
1985-12-01,11012,66205665.25
1986-01-01,10963,60223145.666666664
1986-02-01,11058,54075019.666666664
1986-03-01,10346,40066513.666666664
1986-04-01,9748,32944578.666666668
1986-05-01,9542,27955114.666666668
1986-06-01,9078,28338721.666666668
1986-07-01,9376,34546044.666666664
1986-08-01,9377,34098312.666666664
1986-09-01,9254,28335713.666666668
1986-10-01,10108,33673558.666666664
1986-11-01,10255,47918116.666666664
1986-12-01,10014,53382534.666666664
1987-01-01,10920,50515165.25000001
1987-02-01,10850,43299650.25000001
1987-03-01,10539,36200118.25000001
1987-04-01,9369,30327953.249999996
1987-05-01,9540,29026989.249999996
1987-06-01,9596,31206064.249999996
1987-07-01,9724,32608692.249999996
1987-08-01,9696,34309167.25000001
1987-09-01,9780,29996635.249999996
1987-10-01,10818,49928521.25000001
1987-11-01,10872,47619878.25000001
1987-12-01,10923,57144936.25000001
1988-01-01,11403,64474659.16666667
1988-02-01,11402,57873572.16666667
1988-03-01,11366,58911051.16666667
1988-04-01,11007,53547373.16666667
1988-05-01,10643,46186564.16666667
1988-06-01,10415,39836030.16666667
1988-07-01,10146,45699042.16666667
1988-08-01,10408,44105651.16666667
1988-09-01,10554,39739133.16666667
1988-10-01,10747,45082372.16666667
1988-11-01,11032,44638873.16666667
1988-12-01,11600,58280255.16666667
1989-01-01,11958,60840113.66666667
1989-02-01,12019,65103377.66666667
1989-03-01,11936,56811244.66666667
1989-04-01,10886,48138938.66666667
1989-05-01,11202,52587291.66666667
1989-06-01,11090,45713651.66666667
1989-07-01,11083,49047941.66666667
1989-08-01,10900,44787163.66666667
1989-09-01,10733,37895523.66666667
1989-10-01,11424,42676350.66666667
1989-11-01,11196,48743653.66666667
1989-12-01,12214,61231104.66666667
1990-01-01,11883,59652140.33333333
1990-02-01,11739,51164223.33333333
1990-03-01,11619,52443923.33333333
1990-04-01,11260,48289969.33333333
1990-05-01,11206,48474931.33333333
1990-06-01,11423,42062152.33333333
1990-07-01,11174,45484732.33333333
1990-08-01,11147,42667168.33333333
1990-09-01,11067,39335300.33333333
1990-10-01,11804,42993008.33333333
1990-11-01,12347,54133858.33333333
1990-12-01,12714,65368385.33333333
1991-01-01,12803,65349425.83333334
1991-02-01,12577,56006579.83333334
1991-03-01,12525,59485072.83333334
1991-04-01,12400,53270053.83333334
1991-05-01,12036,52397744.83333334
1991-06-01,11884,48278309.83333334
1991-07-01,11536,46512537.83333334
1991-08-01,11874,44406779.83333334
1991-09-01,12464,45152582.933333345
1991-10-01,12656,52436289.83333334
1991-11-01,12852,59741354.83333334
1991-12-01,13143,66733336.83333334
